service_request_key,created_date,request_type,description,request_type_code,status_code,intake_form,days_to_complete,sla_fy_2019,on_time_indicator,completed_at,due_at,ispublic,council_district,loc
15319789,05/08/2024 12:22:38 PM,Potholes,,EMERGENCY,O-CLOSED,gov.publicstuff.com,3,5,Yes,05/13/2024 06:43:37 AM,05/20/2024 12:22:38 PM,yes,8,POINT (-85.25739151 35.067766288)
15319289,05/08/2024 11:19:29 AM,Potholes,City Alley way has a deep pothole right at the beginning causing cars to drag,EMERGENCY,O-CLOSED,iOS,4,5,Yes,05/14/2024 10:37:21 AM,05/20/2024 11:19:29 AM,yes,6,POINT (-85.239635 35.01302)
15319022,05/08/2024 10:48:19 AM,Potholes,Citizen states that there is sewer lines being put in off of his street and the trucks coming in and out of his street is causing potholes up to 1 feet deep.,EMERGENCY,O-CLOSED,gov.publicstuff.com,3,5,Yes,05/13/2024 06:44:22 AM,05/20/2024 10:48:19 AM,yes,5,POINT (-85.226307727 35.068239234)
15318955,05/08/2024 10:40:12 AM,Potholes,There are several potholes on the street.,EMERGENCY,O-CLOSED,Iframe,3,5,Yes,05/13/2024 06:44:13 AM,05/20/2024 10:40:12 AM,yes,8,POINT (-85.272060506 35.041950955)
15318563,05/08/2024 09:37:13 AM,Distressed Pavement,"Citizen is requesting that this street get repaved, she wants to request to put in on the paving list. Previou SR #15297811 submitted which refilled a few potholes.",NONE,O-CLOSED,gov.publicstuff.com,3,20,No,05/13/2024 08:52:56 AM,05/10/2024 09:37:13 AM,yes,4,POINT (-85.141439563 34.996083667)
15318419,05/08/2024 09:16:23 AM,Potholes,Pothole at main and broad street.,EMERGENCY,O-CLOSED,gov.publicstuff.com,0,5,Yes,05/08/2024 09:17:48 AM,05/20/2024 09:16:23 AM,yes,7,POINT (-85.311501178 35.037058723)
15318271,05/08/2024 08:53:26 AM,Potholes,huge dip in road,EMERGENCY,O-CLOSED,Android,5,5,Yes,05/15/2024 09:33:44 AM,05/20/2024 08:53:26 AM,yes,3,POINT (-85.175388269 35.105780469)
15318267,05/08/2024 08:52:52 AM,Potholes,Street is buckling & continues to get worse. Could you patch until street fix can be completed?,EMERGENCY,O-NEW,Iframe,,5,N/A,,06/06/2024 08:52:52 AM,yes,4,POINT (-85.165130907 35.020342381)
15318140,05/08/2024 08:32:16 AM,Potholes,multiple potholes near the tunnel,EMERGENCY,O-CLOSED,Android,4,5,Yes,05/14/2024 02:50:55 PM,05/20/2024 08:32:16 AM,yes,7,POINT (-85.325113037 35.012448098)
15317987,05/08/2024 08:13:37 AM,Potholes,Stated that there are bad humps and potholes and it is dangerous.,EMERGENCY,O-CLOSED,gov.publicstuff.com,0,5,Yes,05/08/2024 09:15:25 AM,05/20/2024 08:13:37 AM,yes,7,POINT (-85.292170698 35.001405189)
15314709,05/07/2024 01:59:36 PM,Potholes,Broken asphalt around water valve reported by CDOT.,EMERGENCY,O-CLOSED,gov.publicstuff.com,0,5,Yes,05/07/2024 02:01:38 PM,05/17/2024 01:59:36 PM,yes,7,POINT (-85.309683973 35.041734097)
15313557,05/07/2024 11:39:20 AM,Potholes,"Pothole in the middle of the street that was repaired about 2 months ago is now very depressed and sunken. The depression is getting larger daily and starting to cause problems for the daily drivers in the area. The intersection in question is the 600 block of Oxford , 1700 Arden Av e and 1700 White Oak Rd.",EMERGENCY,O-CLOSED,gov.publicstuff.com,2,5,Yes,05/09/2024 09:11:47 AM,05/17/2024 11:39:20 AM,yes,2,POINT (-85.299814347 35.082305104)
15311961,05/07/2024 02:56:51 AM,Potholes,"It s in the crosswalk where you step off the curb next to Patten Towers. It s on a short strip of Market St., between 11th and Georgia Ave., that s very dangerous because of limited sight distance. Elderly folks cross there and on May, 3rd a lady s wheelchair got stuck in it. Huge thanks if y all can get it filled quickly.",NONE,O-CLOSED,Iframe,1,5,Yes,05/08/2024 06:45:38 AM,05/17/2024 02:56:51 AM,yes,7,POINT (-85.309354372 35.043944262)
15311373,05/06/2024 08:17:05 PM,Potholes,"Constant sinkhole that is ONLY ever patched but just adding more blacktop into the depressions . It s fixed probably twice a year. This is a heavily traveled area with all the school traffic that comes thru and just sits here. Never seems to get the proper repair. This is very rough of the vehicles, as it s right at the speed bumps and then we get a double sinkhole / potholes right after. People hit this too fast fast times and it about throws them into the other lane",EMERGENCY,O-CLOSED,iOS,2,5,Yes,05/09/2024 06:52:15 AM,05/16/2024 08:17:05 PM,yes,3,POINT (-85.244874 35.150029)
15310268,05/06/2024 04:48:31 PM,Potholes,The roadway has erupted at the stop sign on 15th Ave where it intersects E 46th st.,EMERGENCY,O-CLOSED,iOS,13,5,Yes,05/23/2024 10:54:14 AM,05/29/2024 04:48:31 PM,yes,7,POINT (-85.283329 34.988292)
15310195,05/06/2024 04:40:33 PM,Potholes,States there's several potholes on this street. States between Debra Rd and Uptain Rd.,NONE,O-CLOSED,gov.publicstuff.com,8,5,Yes,05/16/2024 04:14:00 PM,05/27/2024 04:40:33 PM,yes,6,POINT (-85.211483065 35.009640447)
15309468,05/06/2024 03:17:11 PM,Potholes,"Big sink hole in the middle of the road, per caller is about 14 inches in diameter.",NONE,O-NEW,gov.publicstuff.com,,5,N/A,,06/07/2024 03:17:11 PM,yes,1,POINT (-85.325153897 35.080616564)
15309340,05/06/2024 03:00:48 PM,Potholes,"Large trucks frequently utilize the road, appears to be a sinkhole or compromised roadway around 825-828 Runyan Rd",EMERGENCY,O-CLOSED,Iframe,3,5,Yes,05/09/2024 09:11:27 AM,05/16/2024 03:00:48 PM,yes,1,POINT (-85.321789949 35.100689582)
15309064,05/06/2024 02:26:28 PM,Potholes,patch at corner of driveway where kboom damaged,EMERGENCY,O-CLOSED,gov.publicstuff.com,2,5,Yes,05/08/2024 10:53:19 AM,05/16/2024 02:26:28 PM,yes,1,POINT (-85.325522657 35.080025635)
15308154,05/06/2024 12:47:07 PM,Potholes,"There is a big hole there, there is asphalt moved on the side of it and it is very dangerous.  Located on Moonhollow St, on the backside of Crewdson St, there are several potholes out there.",EMERGENCY,O-OPEN,gov.publicstuff.com,,5,N/A,,06/06/2024 12:47:07 PM,yes,2,POINT (-85.296986071 35.068093594)
15307178,05/06/2024 11:01:13 AM,Potholes,"Apt  A ,",NONE,O-CLOSED,gov.publicstuff.com,2,5,Yes,05/08/2024 06:46:09 AM,05/16/2024 11:01:13 AM,yes,5,POINT (-85.235074446 35.025251812)
15306987,05/06/2024 10:38:16 AM,Potholes,Resident has fallen due to potholes in the street. She was walking after being let out of a uber transport car and step into a pot and fell. Stated multiples potholes in the middle of the street with loose gravels. It appears these are old and have been repaired in the past.,STANDARD,O-CLOSED,gov.publicstuff.com,9,5,Yes,05/17/2024 02:29:04 PM,05/31/2024 10:38:16 AM,yes,6,POINT (-85.168400756 35.011188404)
15304139,05/05/2024 11:50:35 AM,Potholes,,EMERGENCY,O-CLOSED,iOS,4,5,Yes,05/09/2024 06:51:17 AM,05/16/2024 11:50:35 AM,no,2,
15303108,05/04/2024 05:23:32 PM,Potholes,Really deep pothole,EMERGENCY,O-CLOSED,iOS,2,5,Yes,05/07/2024 06:52:40 AM,05/16/2024 05:23:32 PM,yes,5,POINT (-85.223636 35.084228)
15302633,05/04/2024 01:16:56 PM,Potholes,,EMERGENCY,O-CLOSED,Android,2,5,Yes,05/07/2024 06:53:16 AM,05/16/2024 01:16:56 PM,yes,5,POINT (-85.231720964 35.022821606)
15301766,05/03/2024 10:13:41 PM,Potholes,,EMERGENCY,O-CLOSED,iOS,3,5,Yes,05/08/2024 06:49:45 AM,05/15/2024 10:13:41 PM,no,2,
15300613,05/03/2024 04:22:56 PM,Potholes,"There are multiple pot holes on the street used to access our driveways which causes my car to bottom out, lose traction, etc. It has previously been  repaired  using gravel, however, the street is sloped and all patching washes out within a week. The street desperately needs repaving. I own a motorcycle and the gravel used in combination with the large pot holes (averaging 2 + inches deep) runs the risk of dropping the bike from loss of traction.",EMERGENCY,O-CLOSED,iOS,1,5,Yes,05/06/2024 01:02:17 PM,05/15/2024 04:22:56 PM,yes,9,POINT (-85.24688 35.075142)
15300463,05/03/2024 03:55:17 PM,Distressed Pavement,The street is rough and it needs to be paved.,EMERGENCY,O-OPEN,gov.publicstuff.com,,20,N/A,,06/06/2024 03:55:17 PM,yes,9,POINT (-85.246164509 35.075772501)
15300359,05/03/2024 03:37:04 PM,Distressed Pavement,"States from Bunker Hills to N Concord Rd on to Lisa Gay Ln, the road needs paving.",EMERGENCY,O-CLOSED,gov.publicstuff.com,2,20,Yes,05/07/2024 01:26:05 PM,05/08/2024 03:37:04 PM,yes,4,POINT (-85.168670597 35.019535614)
15299172,05/03/2024 12:49:25 PM,Potholes,"The dangerous potholes in question are on Elder Mountain road between the turnoff to the TVA Pump Station reservoir and the guard house at the intersection of Elder Mountain Road and Cumberland Road. There are several deep potholes that if hit at the speed limit could cause a flat tire, rim deformation or worse a wreck. It will take a visual inspection to see them. Thanks.",EMERGENCY,O-CLOSED,gov.publicstuff.com,2,5,Yes,05/07/2024 06:46:04 AM,05/15/2024 12:49:25 PM,yes,1,POINT (-85.367755229 35.044685124)
15297932,05/03/2024 09:32:06 AM,Potholes,"Going north, the Railroad track is VERY ROUGH and felt like the underside of my car was damaged when I traveled over it. It used to be MUCH more smooth and  even  with road/asphalt.",EMERGENCY,O-CLOSED,iOS,1,5,Yes,05/06/2024 01:50:44 PM,05/15/2024 09:32:06 AM,yes,8,POINT (-85.270333 35.063103)
15297811,05/03/2024 09:09:53 AM,Distressed Pavement,"street is in a very hazardous condition.  It's only been patched a couple times , but the street is damaged from years of ware where it can no longer be patched....    Whole street needs paving.",EMERGENCY,O-CLOSED,gov.publicstuff.com,2,20,Yes,05/07/2024 06:48:53 AM,05/07/2024 09:09:53 AM,yes,4,POINT (-85.141439563 34.996083667)
15296775,05/02/2024 08:48:56 PM,Potholes,"Multiple potholes. Road in terrible condition, worse than if it had been milled. The road badly needs repair",EMERGENCY,O-CLOSED,Iframe,3,5,Yes,05/08/2024 06:47:52 AM,05/14/2024 08:48:56 PM,yes,3,POINT (-85.223418243 35.157182088)
15295470,05/02/2024 04:04:40 PM,Potholes,The entirety of Johnson is rough and full of potholes area overall needs to be a complete repave,EMERGENCY,O-CLOSED,iOS,3,5,Yes,05/07/2024 11:36:08 AM,05/14/2024 04:04:40 PM,yes,8,POINT (-85.303667 35.035389)
15295430,05/02/2024 03:58:52 PM,Potholes,Sinkhole,EMERGENCY,O-CLOSED,iOS,2,5,Yes,05/06/2024 01:49:12 PM,05/14/2024 03:58:52 PM,yes,8,POINT (-85.303629 35.035349)
15295419,05/02/2024 03:57:13 PM,Potholes,Sinkhole possible plumbing work done? But is now forming sinkhole/pothole,EMERGENCY,O-CLOSED,iOS,5,5,Yes,05/09/2024 06:51:33 AM,05/14/2024 03:57:13 PM,yes,8,POINT (-85.303629 35.035349)
15295394,05/02/2024 03:54:57 PM,Potholes,Second depression in pavement,EMERGENCY,O-CLOSED,iOS,4,5,Yes,05/08/2024 06:50:41 AM,05/14/2024 03:54:57 PM,yes,8,POINT (-85.303629 35.035349)
15295384,05/02/2024 03:54:33 PM,Potholes,First depression in the area very small,EMERGENCY,O-CLOSED,iOS,4,5,Yes,05/08/2024 06:52:50 AM,05/14/2024 03:54:33 PM,yes,8,POINT (-85.303629 35.035349)
15295364,05/02/2024 03:51:12 PM,Potholes,Fourth pothole in this area,EMERGENCY,O-CLOSED,iOS,4,5,Yes,05/08/2024 06:50:21 AM,05/14/2024 03:51:12 PM,yes,8,POINT (-85.303704 35.035417)
15295355,05/02/2024 03:50:31 PM,Potholes,Third pothole,EMERGENCY,O-CLOSED,iOS,4,5,Yes,05/08/2024 06:50:36 AM,05/14/2024 03:50:31 PM,yes,8,POINT (-85.303704 35.035417)
15295330,05/02/2024 03:47:01 PM,Potholes,Second potholes on this street behind state of confusion,EMERGENCY,O-CLOSED,iOS,4,5,Yes,05/08/2024 06:50:36 AM,05/14/2024 03:47:01 PM,yes,8,POINT (-85.303818 35.035439)
15295314,05/02/2024 03:44:35 PM,Potholes,One of the many potholes on Johnson,EMERGENCY,O-CLOSED,iOS,4,5,Yes,05/08/2024 06:50:08 AM,05/14/2024 03:44:35 PM,yes,8,POINT (-85.303834 35.035443)
15294687,05/02/2024 02:18:00 PM,Potholes,"At 1:58 p.m. today, the caller reported damaging his front (L) tire after running into a pothole. The pothole is on Central Ave. near the railroad tracks. Intersection of Central Ave and W. 45th St. Caller states he will provide photos of the tire damage.",EMERGENCY,O-CLOSED,gov.publicstuff.com,2,5,Yes,05/06/2024 01:48:53 PM,05/14/2024 02:18:00 PM,yes,7,POINT (-85.313038802 35.000984875)
15293206,05/02/2024 11:06:48 AM,Potholes,Honestly almost everything that can be wrong with a road is wrong with this one. Please repair. This is intolerable.,EMERGENCY,O-NEW,Iframe,,5,N/A,,06/06/2024 11:06:48 AM,yes,1,POINT (-85.258861003 35.16979261)
15293015,05/02/2024 10:39:21 AM,Potholes,Pothole going Northbound on Market St in the left lane between 1st and when the bridge/concrete starts.,EMERGENCY,O-CLOSED,Iframe,0,5,Yes,05/02/2024 03:03:47 PM,05/14/2024 10:39:21 AM,yes,7,POINT (-85.309726415 35.056017211)
15293010,05/02/2024 10:38:03 AM,Potholes,large pothole,EMERGENCY,O-CLOSED,gov.publicstuff.com,3,5,Yes,05/07/2024 06:47:45 AM,05/14/2024 10:38:03 AM,yes,4,POINT (-85.139383102 35.025122608)
15292836,05/02/2024 10:14:22 AM,Potholes,,EMERGENCY,O-CLOSED,Iframe,3,5,Yes,05/07/2024 07:31:21 AM,05/14/2024 10:14:22 AM,yes,4,POINT (-85.139213024 35.025586996)
15291317,05/01/2024 07:32:41 PM,Potholes,It s yuge!,EMERGENCY,O-CLOSED,iOS,2,5,Yes,05/03/2024 06:35:43 AM,05/13/2024 07:32:41 PM,no,2,
15290014,05/01/2024 03:43:44 PM,Potholes,Caller states that alley is full of potholes,STANDARD,O-CLOSED,gov.publicstuff.com,4,5,Yes,05/07/2024 07:15:15 AM,05/13/2024 03:43:44 PM,yes,9,POINT (-85.241617747 35.031284151)
15288527,05/01/2024 12:17:07 PM,Potholes,Large Pot hole at the intersection of Tennessee avenue and 50th street.,EMERGENCY,O-CLOSED,Iframe,6,5,Yes,05/09/2024 06:53:23 AM,05/13/2024 12:17:07 PM,yes,7,POINT (-85.32728952 34.990418669)
15288499,05/01/2024 12:12:32 PM,Potholes,Potholes (several) near and around the street entrance of the driveway of this elderly lady's property. Her fear of falling is causing issues with neighbors.,EMERGENCY,O-CLOSED,gov.publicstuff.com,2,5,Yes,05/03/2024 03:03:50 PM,05/13/2024 12:12:32 PM,yes,1,POINT (-85.389028667 34.992170447)
15287828,05/01/2024 10:40:28 AM,Potholes,Pothole center of road at 4808 Eastwood drive,EMERGENCY,O-CLOSED,gov.publicstuff.com,0,5,Yes,05/01/2024 03:21:39 PM,05/13/2024 10:40:28 AM,yes,5,POINT (-85.190363871 35.080464916)
15287624,05/01/2024 10:04:55 AM,Potholes,Citizen states there are potholes on this block that need to be filled.,EMERGENCY,O-CLOSED,gov.publicstuff.com,4,5,Yes,05/07/2024 06:47:15 AM,05/13/2024 10:04:55 AM,yes,9,POINT (-85.245608308 35.071543125)
15287158,05/01/2024 08:34:04 AM,Potholes,"It's two side by side potholes, right next to a big patch of fresh pavement",EMERGENCY,O-CLOSED,Iframe,4,5,Yes,05/07/2024 06:45:47 AM,05/13/2024 08:34:04 AM,yes,1,POINT (-85.353746829 35.045668865)
15287137,05/01/2024 08:29:54 AM,Potholes,near the intersection of Lower Mill road.,EMERGENCY,O-CLOSED,iOS,2,5,Yes,05/03/2024 03:03:53 PM,05/13/2024 08:29:54 AM,yes,3,POINT (-85.238775 35.156318)
15286969,05/01/2024 07:44:07 AM,Potholes,Pothole in the southbound right lane,EMERGENCY,O-CLOSED,iOS,2,5,Yes,05/03/2024 06:37:04 AM,05/13/2024 07:44:07 AM,yes,2,POINT (-85.288255 35.075069)
15286869,05/01/2024 06:49:17 AM,Potholes,The entire 6400 block of Grubb Road has road depressions that are causing  traffic to go around them on the other side of the road. Both north and south sides of the road need repair or repaving.,EMERGENCY,O-CLOSED,iOS,6,5,Yes,05/09/2024 09:08:05 AM,05/13/2024 06:49:17 AM,yes,3,POINT (-85.251831 35.162255)
15284751,04/30/2024 04:43:56 PM,Potholes,Citizen states there are two potholes near this address that are getting bigger.,EMERGENCY,O-CLOSED,gov.publicstuff.com,1,5,Yes,05/01/2024 03:24:57 PM,05/10/2024 04:43:56 PM,yes,2,POINT (-85.29828806 35.076870666)
15283733,04/30/2024 02:31:45 PM,Potholes,Citizen states there is a pothole at the entrance to this subdivision and the intersection of Dayton Blvd & Yosemite Way.,EMERGENCY,O-CLOSED,gov.publicstuff.com,1,5,Yes,05/01/2024 03:25:15 PM,05/10/2024 02:31:45 PM,yes,1,POINT (-85.269170164 35.150828548)
15283683,04/30/2024 02:26:46 PM,Potholes,pothole at the intersection of 18th and Broad st.,STANDARD,O-CLOSED,gov.publicstuff.com,5,5,Yes,05/07/2024 06:44:24 AM,05/10/2024 02:26:46 PM,yes,7,POINT (-85.312634027 35.03499552)
15283374,04/30/2024 01:45:15 PM,Potholes,In the rear of the callers house,STANDARD,O-CLOSED,gov.publicstuff.com,3,5,Yes,05/03/2024 06:38:27 AM,05/10/2024 01:45:15 PM,yes,8,POINT (-85.264857098 35.043103574)
15282439,04/30/2024 11:47:53 AM,Potholes,,EMERGENCY,O-CLOSED,gov.publicstuff.com,0,5,Yes,04/30/2024 12:43:10 PM,05/10/2024 11:47:53 AM,yes,2,POINT (-85.288478615 35.074220637)
15282408,04/30/2024 11:44:31 AM,Potholes,,EMERGENCY,O-CLOSED,gov.publicstuff.com,0,5,Yes,04/30/2024 12:43:32 PM,05/10/2024 11:44:31 AM,yes,7,POINT (-85.309365679 35.044686475)
15281032,04/30/2024 08:26:24 AM,Potholes,several potholes near the tunnel  eastbound side going to Alton Park.,STANDARD,O-CLOSED,Android,3,5,Yes,05/03/2024 06:41:31 AM,05/10/2024 08:26:24 AM,yes,7,POINT (-85.325113037 35.012448098)
15279232,04/29/2024 06:08:35 PM,Potholes,The entire section of E View from where it intersects at Old Ringgold Rd up to 301 E View Dr is a minefield of large potholes and uneven pavement! Please pave the complete section of the road. Trying to fill the potholes has repeatedly proven to be ineffective -  We also have many walkers/joggers who could easily be injured due to the unevenness of the road.  Thank you so much,EMERGENCY,O-CLOSED,Iframe,1,5,Yes,04/30/2024 11:28:48 AM,05/09/2024 06:08:35 PM,yes,9,POINT (-85.26746936 35.011282161)
15278538,04/29/2024 04:20:55 PM,Distressed Pavement,"4400 block of jersey pike btwn bonny oaks and preservation drive, going towards Oakwood Dr, the road is in bad condition.  Lots of dips and bad patch work, needs repaving.",EMERGENCY,O-CLOSED,gov.publicstuff.com,2,20,Yes,05/01/2024 03:19:45 PM,05/03/2024 04:20:55 PM,yes,5,POINT (-85.190275638 35.073725653)
15278437,04/29/2024 04:05:25 PM,Potholes,The gravel is raised up and continues to increase in size and gets wider. Also the mailman will not deliver our mail because it causes damage to the vehicle,EMERGENCY,O-CLOSED,Iframe,1,5,Yes,04/30/2024 10:34:01 AM,05/09/2024 04:05:25 PM,yes,3,POINT (-85.186432417 35.094375722)
15278283,04/29/2024 03:44:42 PM,Potholes,"4119, 4195, 4151,4227, 4200,4237,4211,4244 Cromwell Drive,  this road has some very bad pot holes  and needs attention.",URGENT,O-CLOSED,gov.publicstuff.com,2,5,Yes,05/01/2024 03:20:42 PM,05/09/2024 03:44:42 PM,yes,5,POINT (-85.19918068 35.066195136)
15277313,04/29/2024 01:42:32 PM,Potholes,Woodmore circle & woodmore lane - 2 Potholes  . Caller requesting for this street to be repaved.,URGENT,O-CLOSED,gov.publicstuff.com,2,5,Yes,05/01/2024 03:21:07 PM,05/09/2024 01:42:32 PM,yes,5,POINT (-85.226452414 35.034737833)
15276511,04/29/2024 12:06:00 PM,Potholes,This is in the southbound right lane somewhere close to Duane.  I live across the street and I have seen at least one car blow a tire in this pothole,URGENT,O-CLOSED,Iframe,2,5,Yes,05/01/2024 03:25:31 PM,05/09/2024 12:06:00 PM,yes,2,POINT (-85.288343845 35.076370699)
15276282,04/29/2024 11:41:14 AM,Potholes,"TAW dug up the street to put a ditch in and they never came back to fix the road and the gravel they put out there have washed up, there is a large bump going across the road.",EMERGENCY,O-CLOSED,gov.publicstuff.com,0,5,Yes,04/29/2024 01:14:01 PM,05/09/2024 11:41:14 AM,yes,6,POINT (-85.225964363 35.009326117)
15274995,04/29/2024 08:58:48 AM,Potholes,Cut out from WQ dig needs filled in.,URGENT,O-CLOSED,gov.publicstuff.com,4,5,Yes,05/03/2024 06:40:13 AM,05/09/2024 08:58:48 AM,yes,7,POINT (-85.315753595 35.007379461)
15274989,04/29/2024 08:58:10 AM,Potholes,a little asphalt needed in front of handicap ramp for WQ.  intersection of Reggie White Blvd and W 19th at the Stadium. Check both sets of ramps.,URGENT,O-CLOSED,gov.publicstuff.com,6,5,Yes,05/07/2024 09:22:27 AM,05/09/2024 08:58:10 AM,yes,7,POINT (-85.317263399 35.035722604)
15274984,04/29/2024 08:56:23 AM,Potholes,Near the  end of the road. Large & deep.,URGENT,O-CLOSED,gov.publicstuff.com,13,5,Yes,05/16/2024 07:28:06 AM,05/17/2024 08:56:23 AM,yes,1,POINT (-85.362733503 35.009851181)
15274974,04/29/2024 08:54:13 AM,Potholes,in front of the driveway at 317 valley brook lane for WQ concrete.,URGENT,O-CLOSED,gov.publicstuff.com,4,5,Yes,05/03/2024 02:57:43 PM,05/09/2024 08:54:13 AM,yes,3,POINT (-85.206002957 35.158497297)
15274824,04/29/2024 08:21:45 AM,Potholes,,EMERGENCY,O-CLOSED,gov.publicstuff.com,0,5,Yes,04/29/2024 10:07:30 AM,05/09/2024 08:21:45 AM,yes,5,POINT (-85.241562017 35.052816126)
15274820,04/29/2024 08:19:42 AM,Potholes,,EMERGENCY,O-CLOSED,gov.publicstuff.com,0,5,Yes,04/29/2024 09:57:12 AM,05/09/2024 08:19:42 AM,yes,5,POINT (-85.242121844 35.051759012)
15274816,04/29/2024 08:19:16 AM,Potholes,,EMERGENCY,O-CLOSED,gov.publicstuff.com,0,5,Yes,04/29/2024 09:58:23 AM,05/09/2024 08:19:16 AM,yes,5,POINT (-85.242073134 35.051849333)
15274808,04/29/2024 08:15:56 AM,Potholes,pothole - at intersection of greenwood rd and wilcox blvd near Dollar General Store,EMERGENCY,O-CLOSED,gov.publicstuff.com,0,5,Yes,04/29/2024 11:44:15 AM,05/09/2024 08:15:56 AM,yes,9,POINT (-85.242945006 35.047956065)
15272971,04/28/2024 10:42:54 AM,Potholes,Large pothole. Whole road is becoming unraveled,EMERGENCY,O-CLOSED,iOS,1,5,Yes,04/29/2024 09:05:21 AM,05/09/2024 10:42:54 AM,yes,7,POINT (-85.312509 35.032042)
15270812,04/27/2024 08:43:29 AM,Potholes,,EMERGENCY,O-CLOSED,Android,1,5,Yes,04/29/2024 06:31:40 AM,05/09/2024 08:43:29 AM,yes,1,POINT (-85.366896987 35.048427824)
15270238,04/26/2024 08:02:25 PM,Potholes,many rough depressions in pavement,EMERGENCY,O-CLOSED,Android,1,5,Yes,04/29/2024 09:35:22 AM,05/08/2024 08:02:25 PM,yes,5,POINT (-85.228960634 35.087093504)
15270230,04/26/2024 07:58:39 PM,Potholes,water leak  is causing the road to erode away,EMERGENCY,O-CLOSED,Android,1,5,Yes,04/29/2024 09:05:02 AM,05/08/2024 07:58:39 PM,yes,5,POINT (-85.218163468 35.085069473)
15269352,04/26/2024 04:03:37 PM,Potholes,Caller states that after coming through the tunnel there is a huge hole at Wilcox and Greenwood Rd at the light and there is what appears to be something sticking out of it. She said like a septic tank or something,EMERGENCY,O-CLOSED,gov.publicstuff.com,1,5,Yes,04/29/2024 11:44:44 AM,05/08/2024 04:03:37 PM,yes,9,POINT (-85.243058914 35.048067266)
15268593,04/26/2024 02:03:09 PM,Potholes,2 potholes near intersection with N Seminole,EMERGENCY,O-CLOSED,Iframe,1,5,Yes,04/29/2024 12:21:53 PM,05/08/2024 02:03:09 PM,yes,9,POINT (-85.254252612 35.028815818)
15267517,04/26/2024 11:17:30 AM,Potholes,I made a report a few weeks ago and 311 came out to fill several potholes but the larger one had water in it and could not be filled completely but now that it is dry it is ready to be filled completely. Thanks!,URGENT,O-CLOSED,Iframe,5,5,Yes,05/03/2024 06:36:03 AM,05/08/2024 11:17:30 AM,yes,9,POINT (-85.277337822 35.033881592)
15266742,04/26/2024 09:00:25 AM,Potholes,Large pothole/rough pavement across travelling lane. Very difficult to avoid due to it's size.,EMERGENCY,O-CLOSED,Iframe,1,5,Yes,04/29/2024 10:18:23 AM,05/08/2024 09:00:25 AM,yes,2,POINT (-85.305452063 35.074194745)
15266728,04/26/2024 08:55:50 AM,Potholes,Large pothole in road,EMERGENCY,O-CLOSED,Iframe,1,5,Yes,04/29/2024 09:17:49 AM,05/08/2024 08:55:50 AM,yes,6,POINT (-85.163036839 35.071030775)
15264736,04/25/2024 03:55:14 PM,Distressed Pavement,Caller states that street is buckled up due to a water leak that is now fixed.  States it is pretty much the entire street.,EMERGENCY,O-CLOSED,gov.publicstuff.com,3,20,Yes,04/30/2024 04:16:35 PM,05/03/2024 03:55:14 PM,yes,1,POINT (-85.370464264 35.032558552)
15264514,04/25/2024 03:16:11 PM,Potholes,Near the intersection is the Northgate Mall post office.,EMERGENCY,O-CLOSED,gov.publicstuff.com,2,5,Yes,04/29/2024 10:43:32 AM,05/07/2024 03:16:11 PM,yes,3,POINT (-85.237225535 35.130783727)
15264166,04/25/2024 02:25:20 PM,Distressed Pavement,"See SR: 15011739   A concerned caller stated that the issue of 3-4 potholes and sinkholes near the Woodland Park Baptist Church has not been resolved and the situation is getting worse, making it difficult to drive on the uneven pavement.",EMERGENCY,O-CLOSED,gov.publicstuff.com,2,20,Yes,04/29/2024 08:53:25 AM,05/03/2024 02:25:20 PM,yes,6,POINT (-85.161627929 35.05654419)
15263743,04/25/2024 01:28:30 PM,Potholes,,EMERGENCY,O-CLOSED,iOS,2,5,Yes,04/29/2024 06:33:05 AM,05/07/2024 01:28:30 PM,no,9,
15262518,04/25/2024 10:20:54 AM,Potholes,,EMERGENCY,O-CLOSED,gov.publicstuff.com,2,5,Yes,04/29/2024 06:33:48 AM,05/07/2024 10:20:54 AM,yes,6,POINT (-85.174348908 35.067153398)
15262076,04/25/2024 09:08:08 AM,Potholes,By Hegwood auto parts,EMERGENCY,O-CLOSED,gov.publicstuff.com,6,5,Yes,05/03/2024 06:40:13 AM,05/07/2024 09:08:08 AM,yes,7,POINT (-85.30193767 34.990804253)
15261869,04/25/2024 08:30:51 AM,Potholes,Two huge potholes & very deep,EMERGENCY,O-CLOSED,gov.publicstuff.com,4,5,Yes,05/01/2024 03:24:04 PM,05/07/2024 08:30:51 AM,yes,3,POINT (-85.21230857 35.11673029)
15261045,04/24/2024 08:47:20 PM,Potholes,Contractor for new subdivision didn't do a great job filling in new asphalt on SB Givens.  Noticable dip in pavement forcing drivers to slow down to a greater extent,EMERGENCY,O-NEW,Iframe,,5,N/A,,06/06/2024 08:47:20 PM,yes,4,POINT (-85.143332897 34.999049578)
15259117,04/24/2024 03:05:26 PM,Potholes,deep hole right by train tracks. hurts if your car hits it!,EMERGENCY,O-CLOSED,Android,3,5,Yes,04/29/2024 01:13:58 PM,05/06/2024 03:05:26 PM,yes,3,POINT (-85.23418732 35.143668194)
15259075,04/24/2024 03:01:27 PM,Potholes,Right in front of Vandergriff Park entrance,EMERGENCY,O-CLOSED,iOS,5,5,Yes,05/01/2024 03:24:22 PM,05/06/2024 03:01:27 PM,yes,3,POINT (-85.238031 35.142524)
